rt	trial_type	trial_index	trial_index_global	time_elapsed	subject	condition	problems	moveNum	src	category	imageName	init_locationsX	init_locationsY	movesX	movesY	dropTime	dropCorrect	dropPosition	final_locationsX	final_locationsY	problem_type	responseL	responseR
45904	active-sort	0	3	177148	p104932	active	pbp16	10	lib/images/pbp16/problem/pbp16_3-3.jpg	right	pbp16_3-3.jpg	535	455	1054	455	38360	1	right	1054	455	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	11	lib/images/pbp16/problem/pbp16_1-3.jpg	right	pbp16_1-3.jpg	425	455	1054	348	39627	1	right	1054	348	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	12	lib/images/pbp16/problem/pbp16_2-4.jpg	right	pbp16_2-4.jpg	425	345	1054	241	40867	1	right	1054	241	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	13	lib/images/pbp16/problem/pbp16_2-1.jpg	left	pbp16_2-1.jpg	535	235	125	241	41966	1	left	125	241	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
45904	active-sort	0	3	177148	p104932	active	pbp16	14	lib/images/pbp16/problem/pbp16_3-1.jpg	left	pbp16_3-1.jpg	425	235	125	348	42898	1	left	125	348	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	1	lib/images/pbp16/test/pbp16_5-3.jpg	right	pbp16_5-3.jpg	590	306	988.5	556	9594	1	right	988.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	2	lib/images/pbp16/test/pbp16_5-1.jpg	left	pbp16_5-1.jpg	590	306	191.5	556	12766	1	left	191.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	3	lib/images/pbp16/test/pbp16_4-2.jpg	left	pbp16_4-2.jpg	590	306	191.5	556	15235	1	left	191.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	4	lib/images/pbp16/test/pbp16_4-4.jpg	right	pbp16_4-4.jpg	590	306	988.5	556	18579	1	right	988.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	5	lib/images/pbp16/test/pbp16_4-3.jpg	right	pbp16_4-3.jpg	590	306	988.5	556	20071	1	right	988.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	6	lib/images/pbp16/test/pbp16_5-4.jpg	right	pbp16_5-4.jpg	590	306	988.5	556	21536	1	right	988.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	7	lib/images/pbp16/test/pbp16_5-2.jpg	left	pbp16_5-2.jpg	590	306	191.5	556	23221	1	left	191.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
28706	test-sort	0	6	227563	p104932	active	pbp16	8	lib/images/pbp16/test/pbp16_4-1.jpg	left	pbp16_4-1.jpg	590	306	191.5	556	24705	1	left	191.5	556	pbp16	the square was proceeded by a circle	the circle was proceeded by a square
33946	survey-text-leftRight	0	7	263522	p104932	active	pbp16	NA				NA	NA	NA	NA	NA	NA		NA	NA		the square was proceeded by a circle	the circle was proceeded by a square
43171	active-sort	0	1	61552	p109296	active	pbp11b	1	lib/images/pbp34/problem/pbp34_3-1.jpg	left	pbp34_3-1.jpg	425.0000305	344.5714417	124.5000076	240.0714417	10153	1	left	124.5000076	240.0714417	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	2	lib/images/pbp34/problem/pbp34_2-1.jpg	left	pbp34_2-1.jpg	425.0000305	234.5714417	235.642868	240.0714417	18091	1	left	235.642868	240.0714417	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	3	lib/images/pbp34/problem/pbp34_1-3.jpg	right	pbp34_1-3.jpg	535	234.5714417	941.500061	240.0714417	22724	1	right	941.500061	240.0714417	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	4	lib/images/pbp34/problem/pbp34_2-2.jpg	left	pbp34_2-2.jpg	645	234.5714417	124.5000076	346.2142944	24898	1	left	124.5000076	346.2142944	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	5	lib/images/pbp34/problem/pbp34_1-4.jpg	right	pbp34_1-4.jpg	755.000061	234.5714417	1052.642944	240.0714417	26176	1	right	1052.642944	240.0714417	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	6	lib/images/pbp34/problem/pbp34_2-4.jpg	right	pbp34_2-4.jpg	755.000061	344.5714417	941.500061	346.2053833	27683	1	right	941.500061	346.2053833	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	7	lib/images/pbp34/problem/pbp34_3-2.jpg	left	pbp34_3-2.jpg	645	344.5714417	1040	364.5714417	30282	0	right	235.642868	346.2053833	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	8	lib/images/pbp34/problem/pbp34_3-2.jpg	left	pbp34_3-2.jpg	645	344.5714417	235.642868	346.2053833	31527	1	left	235.642868	346.2053833	pbp34	seemed more stable and orderly	seemed more chaotic
